"training_id","tender_id","department","category","location","estimated_value","final_contract_value","number_of_bidders","winning_vendor","vendor_specialization","is_specialized_for_tender","historical_win_rate","previous_tenders","previous_wins","vendor_a_bid","vendor_b_bid","vendor_c_bid","bid_similarity_percent","a_won_comparable_tenders","b_c_repeatedly_participated","comparable_tenders","average_comparable_price","current_price_vs_comparable_percent","network_relationship_strength","shared_tenders","regional_price_variation","market_price_increase","investigation_priority"
1,"TND-ML-00001","Urban Development Department","Road construction","Mangaluru",168798718.91,166670073.18,9,"Vendor 308","Equipment Supply",True,40.43,47,19,164823697.08,168224102.42,166358970.20,58.94,5,False,11,141858943.89,17.49,0.43,8,2.03,4.09,41.36
2,"TND-ML-00002","Municipal Corporation","Consulting","Davangere",134316336.96,131040674.78,9,"Vendor 410","Infrastructure",True,44.44,18,8,129917492.21,131057331.47,130350973.24,55.72,3,False,18,114366097.73,14.58,0.37,9,3.06,5.15,36.71
3,"TND-ML-00003","Water Resources Department","Bridge construction","Tumakuru",42122600.99,40004598.70,6,"Vendor 238","IT Services",True,28.42,95,27,39629247.22,40389042.29,39701034.04,56.73,4,False,14,38514102.92,3.87,0.27,7,3.47,7.88,26.94
4,"TND-ML-00004","Urban Development Department","Consulting","Tumakuru",135017178.58,165036980.23,5,"Vendor 296","Consulting",True,38.46,65,25,165246270.74,162603838.03,166483790.20,91.35,9,True,12,125665864.79,31.33,0.77,14,3.71,3.06,71.69
5,"TND-ML-00005","Urban Development Department","Healthcare","Hubballi",106376488.53,142675116.85,3,"Vendor 386","Equipment Supply",False,54.55,22,12,142327698.59,141761342.17,144923719.35,88.84,9,False,6,103327865.62,38.08,0.82,19,1.39,5.70,78.51
6,"TND-ML-00006","Municipal Corporation","Road construction","Mysuru",48752345.17,51914059.65,8,"Vendor 443","Healthcare",True,41.24,97,40,51419530.10,51046948.19,52272174.77,58.34,4,False,13,47019345.76,10.41,0.44,9,4.26,6.26,34.88
7,"TND-ML-00007","Water Resources Department","IT Services","Ballari",90424005.02,105386109.76,3,"Vendor 149","Healthcare",False,28.77,73,21,104843257.41,105414485.92,106312505.84,75.48,7,False,16,86602111.73,21.69,0.60,10,3.10,4.48,48.46
8,"TND-ML-00008","Public Works Department","Bridge construction","Hubballi",47711011.80,52635829.42,7,"Vendor 449","IT Services",True,34.33,67,23,51942392.77,52605129.64,53677038.49,76.29,8,True,10,41202214.81,27.75,0.76,16,4.11,4.61,64.72
9,"TND-ML-00009","Water Resources Department","Infrastructure","Hubballi",76879468.57,91226511.57,10,"Vendor 353","Consulting",False,37.04,27,10,89588452.80,90727460.47,92175213.64,92.07,9,True,7,64754764.03,40.88,0.93,15,4.30,7.71,79.62
10,"TND-ML-00010","Public Works Department","Road construction","Udupi",72588595.82,81618982.59,5,"Vendor 129","Consulting",True,34.78,46,16,81076171.31,80807515.56,82681906.10,62.90,6,False,5,70234044.05,16.21,0.44,8,1.62,7.55,42.60
11,"TND-ML-00011","Urban Development Department","Equipment Supply","Shivamogga",187076146.28,231192605.50,9,"Vendor 470","Construction",False,90.00,10,9,229035151.55,227886397.34,234177907.06,95.99,9,True,17,165031483.69,40.09,0.97,19,4.64,2.40,87.03
12,"TND-ML-00012","Rural Development Department","Road construction","Tumakuru",110540725.87,112302896.25,9,"Vendor 083","Infrastructure",True,80.46,87,70,110136163.45,113695512.57,110061676.67,68.25,5,False,6,94332546.20,19.05,0.54,9,6.66,8.61,52.65
13,"TND-ML-00013","Urban Development Department","Bridge construction","Mysuru",63888683.89,78739303.05,4,"Vendor 258","Consulting",True,55.56,36,20,78453211.71,77671871.54,78908379.34,81.10,6,True,8,61620991.59,27.78,0.76,12,3.67,4.76,67.52
14,"TND-ML-00014","Water Resources Department","Consulting","Shivamogga",155880858.92,160924386.54,10,"Vendor 099","Healthcare",True,23.08,52,12,159604107.23,163264723.62,159544528.48,66.48,6,False,15,143082054.36,12.47,0.43,7,6.15,2.51,35.57
15,"TND-ML-00015","Water Resources Department","Consulting","Udupi",43404357.40,46371277.70,8,"Vendor 165","Infrastructure",False,70.27,74,52,45947087.41,45540563.05,46302238.25,60.93,5,False,17,40942325.36,13.26,0.43,10,1.25,4.62,44.56
16,"TND-ML-00016","Urban Development Department","Bridge construction","Mysuru",98170056.62,92626926.65,8,"Vendor 190","Consulting",True,48.89,90,44,91878089.03,91581158.00,93573745.22,58.37,2,False,17,82999038.22,11.60,0.26,5,7.12,4.12,31.13
17,"TND-ML-00017","Water Resources Department","Road construction","Shivamogga",102855326.61,132911547.14,10,"Vendor 421","IT Services",False,83.78,37,31,130465714.32,131287218.77,132670425.28,87.94,9,True,6,99603977.17,33.44,0.82,16,4.05,1.71,84.38
18,"TND-ML-00018","Urban Development Department","Road construction","Tumakuru",170974133.20,186549840.15,5,"Vendor 210","Infrastructure",True,76.92,39,30,185680650.52,188518875.97,186407074.20,67.00,6,False,13,162570666.80,14.75,0.44,11,7.47,2.03,42.73
19,"TND-ML-00019","Urban Development Department","Bridge construction","Tumakuru",62997164.57,82696147.94,5,"Vendor 067","IT Services",True,55.32,47,26,82726188.00,82434759.70,82179393.20,88.91,10,False,9,61626162.86,34.19,0.80,18,1.62,1.20,76.13
20,"TND-ML-00020","Urban Development Department","IT Services","Bengaluru",180924147.50,212250987.22,5,"Vendor 149","Infrastructure",True,82.81,64,53,210417234.68,212693273.04,215687016.99,86.29,9,True,11,154420507.25,37.45,0.87,19,2.83,5.80,89.26
21,"TND-ML-00021","Rural Development Department","Infrastructure","Belagavi",34707231.29,41277044.42,5,"Vendor 034","Construction",True,67.57,37,25,40585883.90,41329977.45,41400185.20,87.79,9,False,11,30803764.49,34.00,0.86,16,7.86,7.53,71.40
22,"TND-ML-00022","Public Works Department","Consulting","Belagavi",114607403.61,155526370.52,3,"Vendor 308","Consulting",False,92.00,50,46,152857114.05,155293921.69,157146602.98,94.26,9,True,19,110868527.60,40.28,0.84,20,5.52,5.39,87.65
23,"TND-ML-00023","Public Works Department","Equipment Supply","Davangere",122344339.64,131482157.31,6,"Vendor 057","Consulting",False,53.16,79,42,131481594.77,130030198.57,133274510.91,52.70,4,False,12,119659771.85,9.88,0.24,8,3.09,8.99,31.83
24,"TND-ML-00024","Rural Development Department","Healthcare","Hubballi",70813694.49,68841236.62,3,"Vendor 081","Construction",True,60.47,43,26,67610400.72,69514404.56,68954973.97,57.57,3,False,12,64755184.48,6.31,0.27,6,7.66,6.37,30.85
25,"TND-ML-00025","Urban Development Department","Infrastructure","Bengaluru",163473490.46,183913977.45,6,"Vendor 362","Equipment Supply",True,62.35,85,53,182295356.92,183478252.63,184694895.33,66.64,5,False,16,155978269.40,17.91,0.58,9,1.38,6.86,48.60
26,"TND-ML-00026","Rural Development Department","Healthcare","Mysuru",125406041.88,134590963.09,8,"Vendor 431","Consulting",False,83.33,24,20,134749778.06,134329469.04,135702607.46,64.96,5,False,6,110929665.45,21.33,0.57,8,7.39,6.32,49.72
27,"TND-ML-00027","Urban Development Department","Bridge construction","Shivamogga",169453837.57,192567014.78,4,"Vendor 374","Equipment Supply",True,28.07,57,16,193014143.04,189900706.49,195956512.12,77.23,7,True,11,152903775.43,25.94,0.77,16,2.45,1.92,63.24
28,"TND-ML-00028","Water Resources Department","Bridge construction","Shivamogga",50797356.79,64431599.59,9,"Vendor 107","Construction",True,82.47,97,80,63519769.02,63410857.42,63244133.97,88.84,9,True,19,46514293.67,38.52,0.84,18,0.88,1.27,84.57
29,"TND-ML-00029","Urban Development Department","IT Services","Udupi",16149913.40,20315443.95,9,"Vendor 208","Consulting",True,41.67,96,40,20306746.48,20278790.74,20684265.71,81.46,9,True,9,15313918.25,32.66,0.77,16,6.07,8.45,72.97
30,"TND-ML-00030","Rural Development Department","Road construction","Tumakuru",102563912.61,127763710.67,5,"Vendor 317","Construction",True,54.64,97,53,127362896.51,128608551.42,126572743.99,76.78,7,True,6,100498474.53,27.13,0.75,16,6.09,2.90,67.26
31,"TND-ML-00031","Municipal Corporation","IT Services","Udupi",23393101.91,29155825.43,3,"Vendor 029","Infrastructure",True,33.33,36,12,28883956.94,29534626.87,29603461.13,81.56,8,True,18,22860142.25,27.54,0.70,13,2.54,8.15,64.17
32,"TND-ML-00032","Water Resources Department","Healthcare","Shivamogga",73356200.57,67814795.70,5,"Vendor 060","Healthcare",True,45.00,80,36,67325083.54,67861048.73,67756062.58,56.54,4,False,18,63130511.73,7.42,0.27,8,5.25,5.81,31.95
33,"TND-ML-00033","Public Works Department","Equipment Supply","Tumakuru",148292442.94,167132322.62,7,"Vendor 476","Equipment Supply",True,50.00,44,22,167751663.33,166889979.95,163927420.56,66.22,6,False,5,142884776.11,16.97,0.47,7,3.01,3.73,44.28
34,"TND-ML-00034","Municipal Corporation","Bridge construction","Tumakuru",34950353.60,38494234.24,4,"Vendor 159","Infrastructure",True,43.75,96,42,38118584.83,38883987.06,39122609.34,67.10,5,False,18,33852989.39,13.71,0.47,7,7.25,3.28,41.35
35,"TND-ML-00035","Water Resources Department","Bridge construction","Belagavi",109244062.04,128311900.82,10,"Vendor 203","Equipment Supply",True,73.77,61,45,127060425.96,128878725.91,130305477.50,91.13,8,True,16,94961442.29,35.12,0.78,15,6.18,8.35,77.57
36,"TND-ML-00036","Public Works Department","Consulting","Udupi",148401705.78,173021153.97,9,"Vendor 050","Construction",False,77.50,40,31,171112919.17,174580308.99,172118189.75,85.46,8,True,6,132502032.45,30.58,0.78,16,5.14,7.95,70.51
37,"TND-ML-00037","Municipal Corporation","Road construction","Mysuru",30699712.56,29181243.21,9,"Vendor 274","Infrastructure",True,57.73,97,56,29171063.23,29294321.99,28839729.09,58.71,3,False,9,27804900.63,4.95,0.33,3,5.06,1.54,31.76
38,"TND-ML-00038","Urban Development Department","Consulting","Ballari",51052977.37,54907179.98,7,"Vendor 379","Consulting",True,62.50,32,20,54187682.75,54645455.66,53919182.31,76.02,6,False,15,44705406.27,22.82,0.61,11,5.14,2.62,57.99
39,"TND-ML-00039","Public Works Department","Bridge construction","Shivamogga",105277633.40,134640197.75,8,"Vendor 012","IT Services",True,85.71,28,24,133158218.29,134679859.29,136702303.08,92.21,10,True,18,98212997.12,37.09,0.88,16,5.45,4.62,88.58
40,"TND-ML-00040","Municipal Corporation","Healthcare","Bengaluru",132439084.08,131202101.02,4,"Vendor 189","Construction",True,73.68,76,56,128649718.44,131562062.02,132464099.97,54.84,3,False,6,122733490.20,6.90,0.27,6,7.43,1.12,35.74
41,"TND-ML-00041","Water Resources Department","Road construction","Mangaluru",75664405.29,93686799.27,6,"Vendor 028","Healthcare",False,92.31,39,36,92224919.12,92816578.34,91981627.24,93.16,10,True,9,68314714.36,37.14,0.95,16,6.08,4.52,86.63
42,"TND-ML-00042","Water Resources Department","IT Services","Davangere",86825065.35,95411465.61,8,"Vendor 210","Infrastructure",False,66.67,12,8,93685617.22,93817948.67,95107406.77,67.28,5,False,6,81813981.83,16.62,0.46,7,5.36,6.96,46.06
43,"TND-ML-00043","Public Works Department","IT Services","Davangere",112517004.08,127759982.14,4,"Vendor 117","Consulting",True,60.92,87,53,125419209.18,126621798.06,129878840.05,65.23,5,False,8,109346099.06,16.84,0.57,7,2.09,1.75,47.41
44,"TND-ML-00044","Urban Development Department","Infrastructure","Tumakuru",132797480.67,159273206.39,6,"Vendor 133","Healthcare",True,26.92,52,14,156426608.69,157257191.62,162360344.60,75.58,7,False,12,123861269.45,28.59,0.72,11,7.08,5.97,53.20
45,"TND-ML-00045","Municipal Corporation","Infrastructure","Tumakuru",196011477.40,231250076.19,3,"Vendor 387","Construction",False,46.81,94,44,226761435.48,231622686.26,228248928.75,90.93,9,True,5,173259965.68,33.47,0.89,14,7.03,5.93,77.21
46,"TND-ML-00046","Public Works Department","Equipment Supply","Udupi",142024675.71,178705217.33,5,"Vendor 023","Equipment Supply",False,39.76,83,33,176776534.78,176182119.80,180526122.75,87.06,7,True,18,136353744.34,31.06,0.76,16,0.35,4.90,72.41
47,"TND-ML-00047","Municipal Corporation","IT Services","Davangere",104938115.94,104669027.03,10,"Vendor 206","Healthcare",True,39.13,69,27,104951787.76,102601654.29,104024614.82,70.18,4,False,17,89163495.21,17.39,0.56,11,3.63,2.22,46.08
48,"TND-ML-00048","Public Works Department","Equipment Supply","Bengaluru",159686681.86,182530560.08,10,"Vendor 212","Consulting",True,66.67,45,30,182667709.71,179228784.07,180577755.32,73.29,7,False,8,144178957.41,26.60,0.57,10,5.06,6.76,57.98
49,"TND-ML-00049","Municipal Corporation","Equipment Supply","Bengaluru",148508146.29,166459073.88,7,"Vendor 259","Consulting",False,68.42,19,13,166319109.20,168636313.09,165290997.33,70.79,6,False,5,131963749.71,26.14,0.52,12,5.47,4.07,58.42
