estimated_value,final_contract_value,number_of_bidders,is_specialized_for_tender,historical_win_rate,previous_tenders,previous_wins,vendor_a_bid,vendor_b_bid,vendor_c_bid,bid_similarity_percent,a_won_comparable_tenders,b_c_repeatedly_participated,comparable_tenders,average_comparable_price,current_price_vs_comparable_percent,network_relationship_strength,shared_tenders,regional_price_variation,market_price_increase,price_dev_unexplained,price_dev_explained_by_market,winrate_unexplained,bid_similarity_unexplained,department_Public Works Department,department_Rural Development Department,department_Urban Development Department,department_Water Resources Department,category_Consulting,category_Equipment Supply,category_Healthcare,category_IT Services,category_Infrastructure,category_Road construction,location_Belagavi,location_Bengaluru,location_Davangere,location_Hubballi,location_Mangaluru,location_Mysuru,location_Shivamogga,location_Tumakuru,location_Udupi,vendor_specialization_Consulting,vendor_specialization_Equipment Supply,vendor_specialization_Healthcare,vendor_specialization_IT Services,vendor_specialization_Infrastructure,investigation_priority
68983566.78,70517275.53,9,1,42.86,91,39,70517275.53,71474449.81,72642497.57,97.52,10,0,15,70057392.77,0.66,0.863,15,1.81,13.49,0.0,0.44517,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,38.19
62985957.28,66140107.31,5,0,54.55,22,12,66140107.31,68371399.73,68407017.62,98.57,6,0,27,61674288.8,7.24,0.222,4,4.24,11.16,7.24,4.03992,54.55,98.57,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,52.67
34214496.97,32914228.3,9,0,56.98,86,49,32914228.3,34312624.21,34321078.29,97.35,14,0,11,32174484.89,2.3,0.247,3,4.06,11.67,2.3,1.34205,56.98,97.35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,46.55
41198913.35,43476567.07,4,0,56.25,16,9,43476567.07,44186098.48,44714483.86,95.18,7,0,12,38893611.85,11.78,1.0,20,9.77,2.74,11.78,1.61386,56.25,95.18,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
35529079.42,36171672.38,6,1,50.0,14,7,36171672.38,37979306.13,38146608.84,95.59,3,0,24,35092125.76,3.08,0.258,3,7.26,8.73,0.0,1.34442,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,24.98
120109066.76,124925297.8,10,0,36.54,52,19,124925297.8,125359525.03,125913595.86,96.84,5,0,10,111963645.8,11.58,0.289,3,9.36,10.09,11.58,5.842109999999999,36.54,96.84,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,49.53
50179919.7,46300503.44,10,0,50.0,16,8,46300503.44,46386300.17,47340784.39,98.06,5,0,13,49425048.18,-6.32,0.246,4,10.42,4.55,-6.32,-1.4378,50.0,98.06,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,46.41
91462698.97,89431347.96,9,0,62.26,53,33,89431347.96,92264441.45,93807264.54,97.24,1,0,13,84075277.23,6.37,0.891,15,3.67,4.88,6.37,1.5542799999999999,62.26,97.24,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,100.0
31337874.26,29159845.93,10,1,50.0,18,9,29159845.93,29601398.11,29779740.82,94.22,5,0,27,32372979.41,-9.93,0.812,14,11.53,5.42,-0.0,-2.69103,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,38.95
13217194.12,12458438.69,3,1,27.5,80,22,12458438.69,13048317.64,13200835.18,97.71,15,0,21,12784005.67,-2.55,0.931,16,7.22,14.93,-0.0,-1.9035749999999998,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,34.66
113799461.35,121055268.45,4,0,51.9,79,41,121055268.45,123514530.76,128637304.96,97.42,13,0,28,105537274.14,14.7,0.951,18,4.63,2.73,14.7,2.00655,51.9,97.42,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,100.0
43690122.78,43493723.5,6,0,56.63,83,47,43493723.5,44671624.96,45953024.4,96.97,2,0,11,41747078.83,4.18,0.167,1,2.11,8.0,4.18,1.672,56.63,96.97,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,49.26
92409823.9,84981552.88,3,0,55.56,45,25,84981552.88,90304865.94,92371754.44,96.83,11,0,21,98360182.83,-13.6,0.318,6,8.97,1.83,-13.6,-1.2444,55.56,96.83,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,56.8
95083558.63,92546123.59,7,0,67.86,28,19,92546123.59,93202801.08,94169423.27,96.87,10,0,7,96707383.84,-4.3,0.143,0,9.91,13.14,-4.3,-2.8251,67.86,96.87,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,36.56
10619230.49,11222810.04,3,0,52.27,88,46,11222810.04,11285902.87,11645522.57,98.47,5,0,10,9891120.26,13.46,0.305,5,6.7,2.27,13.46,1.5277100000000001,52.27,98.47,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,73.72
107326686.81,103535585.29,8,0,69.88,83,58,103535585.29,104010010.22,104987586.27,97.22,0,0,19,115591526.62,-10.43,0.329,4,10.42,8.05,-10.43,-4.198075,69.88,97.22,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,51.93
31018555.09,28244077.38,4,0,71.62,74,53,28244077.38,29654856.24,30202565.08,97.43,9,0,27,30171467.38,-6.39,0.388,7,10.76,1.58,-6.39,-0.50481,71.62,97.43,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,66.17
36457281.37,36335772.22,3,1,33.96,53,18,36335772.22,39414078.75,41125657.92,95.51,12,0,12,33873894.24,7.27,0.879,15,4.55,8.58,0.0,3.1188299999999995,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,44.93
24148791.29,21534903.05,8,0,66.67,75,50,21534903.05,21738031.04,22232213.12,96.57,2,0,8,22256733.35,-3.24,0.596,11,8.84,1.89,-3.24,-0.30618,66.67,96.57,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,77.18
